Month_code,Order_Date,Order_Type,Orders,Sales_Amount
2026-02,2026-02-28,Pick-up,20,7995.820000000002
2026-01,2026-01-01,Delivery,9,2924.0
2026-01,2026-01-01,Dine-In,20,12754.560000000003
2026-01,2026-01-01,Pick-up,30,19051.95999999999
2026-01,2026-01-02,Delivery,3,1282.0
2026-01,2026-01-02,Dine-In,10,4433.16
2026-01,2026-01-02,Pick-up,19,9122.28
2026-01,2026-01-03,Delivery,4,2520.0
2026-01,2026-01-03,Dine-In,5,2904.66
2026-01,2026-01-03,Pick-up,20,10346.5
2026-01,2026-01-04,Delivery,7,3470.0
2026-01,2026-01-04,Dine-In,14,9964.200000000003
2026-01,2026-01-04,Pick-up,20,9104.320000000002
2026-01,2026-01-05,Delivery,3,1025.0
2026-01,2026-01-05,Dine-In,4,1950.6599999999999
2026-01,2026-01-05,Pick-up,15,5856.9000000000015
2026-01,2026-01-06,Delivery,5,4157.0
2026-01,2026-01-06,Dine-In,7,4577.140000000001
2026-01,2026-01-06,Pick-up,15,9901.880000000001
2026-01,2026-01-07,Delivery,4,1609.0
2026-01,2026-01-07,Dine-In,8,3736.7000000000007
2026-01,2026-01-07,Pick-up,16,10184.32
2026-01,2026-01-08,Delivery,3,1689.0
2026-01,2026-01-08,Dine-In,7,2672.92
2026-01,2026-01-08,Pick-up,16,5538.540000000001
2026-01,2026-01-09,Delivery,3,775.0
2026-01,2026-01-09,Dine-In,9,4301.4800000000005
2026-01,2026-01-09,Pick-up,15,9781.1
2026-01,2026-01-10,Delivery,8,5289.0
2026-01,2026-01-10,Dine-In,11,5419.120000000001
2026-01,2026-01-10,Pick-up,23,13194.640000000001
2026-01,2026-01-11,Delivery,6,2403.0
2026-01,2026-01-11,Dine-In,6,2208.64
2026-01,2026-01-11,Pick-up,20,7746.340000000002
2026-01,2026-01-12,Delivery,7,2798.0
2026-01,2026-01-12,Dine-In,10,3417.1400000000003
2026-01,2026-01-12,Pick-up,22,13837.140000000001
2026-01,2026-01-13,Delivery,3,1360.0
2026-01,2026-01-13,Dine-In,6,4569.72
2026-01,2026-01-13,Pick-up,20,7053.180000000001
2026-01,2026-01-14,Delivery,2,610.0
2026-01,2026-01-14,Dine-In,5,3308.68
2026-01,2026-01-14,Pick-up,14,8190.820000000002
2026-01,2026-01-15,Delivery,3,2539.0
2026-01,2026-01-15,Dine-In,12,8958.960000000001
2026-01,2026-01-15,Pick-up,19,6813.900000000002
2026-01,2026-01-16,Delivery,7,2790.0
2026-01,2026-01-16,Dine-In,8,3763.8200000000006
2026-01,2026-01-16,Pick-up,19,6053.460000000002
2026-01,2026-01-17,Delivery,1,215.0
2026-01,2026-01-17,Dine-In,13,4804.38
2026-01,2026-01-17,Pick-up,20,9840.94
2026-01,2026-01-18,Delivery,2,959.0
2026-01,2026-01-18,Dine-In,8,6700.390000000002
2026-01,2026-01-18,Pick-up,27,12295.22
2026-01,2026-01-19,Delivery,2,1149.0
2026-01,2026-01-19,Dine-In,10,5713.580000000001
2026-01,2026-01-19,Pick-up,11,4419.700000000001
2026-01,2026-01-20,Delivery,3,1160.0
2026-01,2026-01-20,Dine-In,7,3825.1400000000012
2026-01,2026-01-20,Pick-up,19,9676.400000000001
2026-01,2026-01-21,Delivery,7,4179.0
2026-01,2026-01-21,Dine-In,7,3928.1800000000007
2026-01,2026-01-21,Pick-up,17,7748.340000000001
2026-01,2026-01-22,Delivery,6,2684.0
2026-01,2026-01-22,Dine-In,6,3698.0800000000004
2026-01,2026-01-22,Pick-up,16,7339.500000000001
2026-01,2026-01-23,Delivery,3,1525.0
2026-01,2026-01-23,Dine-In,3,1324.4199999999998
2026-01,2026-01-23,Pick-up,15,8431.480000000003
2026-01,2026-01-24,Dine-In,16,6718.620000000002
2026-01,2026-01-24,Pick-up,27,13877.199999999997
2026-01,2026-01-25,Delivery,5,3164.0
2026-01,2026-01-25,Dine-In,15,8012.880000000003
2026-01,2026-01-25,Pick-up,32,16049.36
2026-01,2026-01-26,Delivery,6,3590.0
2026-01,2026-01-26,Dine-In,12,6353.880000000001
2026-01,2026-01-26,Pick-up,16,7428.100000000002
2026-01,2026-01-27,Delivery,1,515.0
2026-01,2026-01-27,Dine-In,4,1302.14
2026-01,2026-01-27,Pick-up,14,6306.560000000001
2026-01,2026-01-28,Delivery,3,1725.0
2026-01,2026-01-28,Dine-In,7,3209.9000000000005
2026-01,2026-01-28,Pick-up,15,8756.800000000001
2026-01,2026-01-29,Delivery,2,1494.0
2026-01,2026-01-29,Dine-In,11,5066.680000000001
2026-01,2026-01-29,Pick-up,29,13365.58
2026-01,2026-01-30,Delivery,6,3455.0
2026-01,2026-01-30,Dine-In,5,2390.9400000000005
2026-01,2026-01-30,Pick-up,17,8162.000000000002
2026-01,2026-01-31,Delivery,4,1175.0
2026-01,2026-01-31,Dine-In,10,4350.320000000001
2026-01,2026-01-31,Pick-up,21,8758.760000000002
2025-12,2025-12-01,Delivery,1,345.0
2025-12,2025-12-02,Delivery,2,1014.0
2025-12,2025-12-03,Delivery,6,3547.0
2025-12,2025-12-04,Delivery,1,335.0
2025-12,2025-12-05,Delivery,4,1534.0
2025-12,2025-12-06,Delivery,2,924.0
2025-12,2025-12-07,Delivery,7,2400.0
2025-12,2025-12-08,Delivery,3,1379.0
2025-12,2025-12-09,Delivery,4,1464.0
2025-12,2025-12-10,Delivery,2,799.0
2025-12,2025-12-11,Delivery,1,674.0
2025-12,2025-12-12,Delivery,5,2059.0
2025-12,2025-12-13,Delivery,5,2559.0
2025-12,2025-12-14,Delivery,5,4913.0
2025-12,2025-12-15,Delivery,4,2828.0
2025-12,2025-12-16,Delivery,3,1465.0
2025-12,2025-12-17,Delivery,5,2660.0
2025-12,2025-12-18,Delivery,2,2864.0
2025-12,2025-12-19,Delivery,3,1580.0
2025-12,2025-12-20,Delivery,5,3664.0
2025-12,2025-12-21,Delivery,9,6527.0
2025-12,2025-12-22,Delivery,8,2953.0
2025-12,2025-12-23,Delivery,4,1425.0
2025-12,2025-12-24,Delivery,6,2057.0
2025-12,2025-12-25,Delivery,1,790.0
2025-12,2025-12-26,Delivery,2,1129.0
2025-12,2025-12-27,Delivery,6,4122.0
2025-12,2025-12-28,Delivery,7,4285.0
2025-12,2025-12-29,Delivery,4,1807.0
2025-12,2025-12-30,Delivery,7,3304.0
2025-12,2025-12-31,Delivery,7,6705.0
