Transaction_Date,Particulars,Deposits
2024-05-08,Google Pay,7622.0
2024-05-09,POS Machine,3109.0
2024-05-09,Google Pay,6494.0
2024-05-10,POS Machine,1173.0
2024-05-10,Google Pay,10850.0
2024-05-11,Google Pay,11792.0
2024-05-12,Google Pay,10407.0
2024-05-13,POS Machine,1622.15
2024-05-13,Google Pay,17144.0
2024-05-14,POS Machine,265.47
2024-05-14,Google Pay,6447.0
2024-05-15,POS Machine,3034.15
2024-05-15,Swiggy,7391.26
2024-05-15,Google Pay,12156.0
2024-05-16,Google Pay,11908.0
2024-05-17,Swiggy,200.6
2024-05-17,Google Pay,45922.0
2024-05-18,POS Machine,2522.22
2024-05-18,Google Pay,11301.0
2024-05-19,Google Pay,9735.0
2024-05-20,POS Machine,269.55
2024-05-20,Google Pay,8819.0
2024-05-21,Google Pay,7327.0
2024-05-22,POS Machine,330.0
2024-05-22,Swiggy,14506.45
2024-05-22,Google Pay,11864.0
2024-05-23,Google Pay,10048.0
2024-05-24,POS Machine,570.82
2024-05-24,Google Pay,9442.0
2024-05-25,POS Machine,961.36
2024-05-25,Google Pay,5195.0
2024-05-26,Google Pay,9134.0
2024-05-27,POS Machine,2636.73
2024-05-27,Google Pay,7229.0
2024-05-28,POS Machine,1215.12
2024-05-28,Google Pay,5444.0
2024-05-29,POS Machine,855.21
2024-05-29,Swiggy,10787.12
2024-05-29,Google Pay,7900.0
2024-05-30,POS Machine,1722.25
2024-05-30,Google Pay,6426.0
2024-05-31,Google Pay,8525.0
2024-06-01,POS Machine,1610.37
2024-06-01,Google Pay,10877.0
2024-06-02,Google Pay,11485.0
2024-06-03,POS Machine,4772.06
2024-06-03,Google Pay,5424.0
2024-06-04,POS Machine,976.98
2024-06-04,Google Pay,9934.0
2024-06-05,POS Machine,2087.9
2024-06-05,Swiggy,6227.67
2024-06-05,Google Pay,5551.0
2024-06-06,POS Machine,706.58
2024-06-06,Google Pay,7210.0
2024-06-07,POS Machine,1063.48
2024-06-07,Google Pay,9483.0
2024-06-08,POS Machine,680.27
2024-06-08,Google Pay,16256.0
2024-06-09,Google Pay,6312.0
2024-06-10,POS Machine,1147.21
2024-06-10,Google Pay,5766.0
2024-06-11,POS Machine,929.07
2024-06-11,Google Pay,4641.0
2024-06-12,Swiggy,10126.19
2024-06-12,Google Pay,5184.0
2024-06-13,POS Machine,527.06
2024-06-13,Google Pay,7319.0
2024-06-14,POS Machine,19.82
2024-06-14,Google Pay,5897.0
2024-06-15,POS Machine,3163.0
2024-06-15,Google Pay,12481.0
2024-06-16,Google Pay,13566.0
2024-06-17,POS Machine,534.22
2024-06-17,Google Pay,12303.0
2024-06-18,POS Machine,396.26
2024-06-18,Google Pay,6953.0
2024-06-19,Swiggy,6420.46
2024-06-19,Google Pay,6754.0
2024-06-20,POS Machine,3442.44
2024-06-20,Google Pay,6079.0
2024-06-21,Google Pay,6795.0
2024-06-22,Google Pay,13625.0
2024-06-23,Google Pay,10457.0
2024-06-24,POS Machine,786.0
2024-06-24,Google Pay,8517.0
2024-06-25,POS Machine,366.0
2024-06-25,Google Pay,11547.0
2024-06-26,Swiggy,9526.83
2024-06-26,Google Pay,1534.0
2024-06-27,Google Pay,6641.0
2024-06-28,POS Machine,327.03
2024-06-28,Google Pay,10930.0
2024-06-29,POS Machine,579.74
2024-06-29,Google Pay,10957.0
2024-06-30,Google Pay,13760.0
2024-07-01,POS Machine,5758.05
2024-07-01,Google Pay,7347.0
2024-07-02,POS Machine,1124.79
2024-07-02,Google Pay,6686.0
2024-07-03,POS Machine,2339.07
2024-07-03,Google Pay,10269.0
2024-07-04,POS Machine,895.97
2024-07-04,Swiggy,8798.91
2024-07-04,Google Pay,7342.0
2024-07-06,Google Pay,4350.0
2024-07-06,Google Pay,10361.0
2024-07-07,Google Pay,3581.0
2024-07-08,POS Machine,6184.84
2024-07-08,Google Pay,10953.0
2024-07-09,POS Machine,3305.97
2024-07-09,Google Pay,8000.0
2024-07-10,POS Machine,749.2
2024-07-10,Swiggy,7168.92
2024-07-10,Google Pay,9042.0
2024-07-11,POS Machine,283.0
2024-07-11,Google Pay,7497.0
2024-07-12,POS Machine,265.47
2024-07-12,Google Pay,5138.0
2024-07-13,Google Pay,13835.0
2024-07-14,Google Pay,9304.0
2024-07-15,POS Machine,2500.21
2024-07-15,Google Pay,9229.0
2024-07-16,POS Machine,612.44
2024-07-16,Google Pay,5246.0
2024-07-17,POS Machine,1170.0
2024-07-17,Swiggy,9654.92
2024-07-17,Google Pay,8174.0
2024-07-18,POS Machine,337.75
2024-07-18,Google Pay,8877.0
2024-07-19,POS Machine,241.81
2024-07-19,Google Pay,7383.0
2024-07-20,POS Machine,969.96
2024-07-20,Google Pay,16804.0
2024-07-21,Google Pay,10227.0
2024-07-22,POS Machine,1805.72
2024-07-22,Google Pay,5975.0
2024-07-23,POS Machine,1319.55
2024-07-23,Google Pay,8937.0
2024-07-24,POS Machine,1496.41
2024-07-24,Swiggy,11925.24
2024-07-24,Google Pay,4294.0
2024-07-25,POS Machine,1411.29
2024-07-25,Google Pay,8357.0
2024-07-26,POS Machine,326.96
2024-07-26,Google Pay,9590.0
2024-07-27,POS Machine,399.43
2024-07-27,Google Pay,10908.0
2024-07-28,Google Pay,11818.0
2024-07-29,POS Machine,5174.83
2024-07-29,Google Pay,7183.0
2024-07-30,POS Machine,306.46
2024-07-30,Google Pay,5088.0
2024-07-31,Swiggy,6631.81
2024-07-31,Google Pay,6106.0
2024-08-01,POS Machine,439.2
2024-08-01,Google Pay,9846.0
2024-08-02,POS Machine,601.54
2024-08-02,Google Pay,12038.0
2024-08-03,Google Pay,9704.0
2024-08-04,Google Pay,10650.0
2024-08-05,POS Machine,1727.93
2024-08-05,Swiggy,8304.19
2024-08-05,Google Pay,8691.0
2024-08-06,POS Machine,538.11
2024-08-06,Google Pay,4695.0
2024-08-07,Google Pay,11205.0
2024-08-08,POS Machine,1593.29
2024-08-08,Swiggy,2344.8
2024-08-08,Google Pay,5674.0
2024-08-09,POS Machine,1079.46
2024-08-09,Google Pay,6962.0
2024-08-10,POS Machine,1925.51
2024-08-10,Google Pay,14064.0
2024-08-11,Google Pay,12879.0
2024-08-12,POS Machine,4827.53
2024-08-12,Google Pay,6681.0
2024-08-13,POS Machine,828.62
2024-08-13,Google Pay,6560.0
2024-08-14,Swiggy,10813.72
2024-08-14,Google Pay,6993.0
2024-08-15,Google Pay,11025.0
2024-08-16,POS Machine,1381.34
2024-08-16,Google Pay,9679.0
2024-08-17,Google Pay,10527.0
2024-08-18,Google Pay,8498.0
2024-08-19,POS Machine,1353.3
2024-08-19,Google Pay,4657.0
2024-08-20,Google Pay,5614.0
2024-08-21,Swiggy,9112.7
2024-08-21,Google Pay,6042.0
2024-08-22,Google Pay,5389.0
2024-08-23,Google Pay,7587.0
2024-08-24,POS Machine,1407.47
2024-08-24,Google Pay,6982.0
2024-08-25,Google Pay,8862.0
2024-08-26,POS Machine,1629.92
2024-08-26,SHAJAHAN POOKODAN,834.0
2024-08-26,Google Pay,10428.0
2024-08-27,Google Pay,4470.0
2024-08-28,Swiggy,10543.26
2024-08-28,Google Pay,10892.0
2024-08-29,Google Pay,5393.0
2024-08-30,Google Pay,4366.0
2024-08-31,Google Pay,13451.0
2024-09-01,Google Pay,7704.0
2024-09-02,POS Machine,1235.62
2024-09-02,Google Pay,5314.0
2024-09-03,POS Machine,609.46
2024-09-03,Google Pay,7264.0
2024-09-04,POS Machine,290.36
2024-09-04,Swiggy,5948.71
2024-09-04,Google Pay,10370.0
2024-09-05,Google Pay,6199.0
2024-09-06,Google Pay,5573.0
2024-09-07,Google Pay,6278.0
2024-09-08,Google Pay,10637.0
2024-09-09,POS Machine,1200.48
2024-09-09,Google Pay,4095.0
2024-09-10,Google Pay,5234.0
2024-09-11,Swiggy,10157.75
2024-09-11,Google Pay,7307.48
2024-09-12,Google Pay,9078.0
2024-09-13,Google Pay,13686.0
2024-09-14,Google Pay,8355.0
2024-09-15,Google Pay,14601.66
2024-09-16,POS Machine,1881.05
2024-09-16,Google Pay,11919.0
2024-09-17,POS Machine,2971.3
2024-09-17,Google Pay,8739.0
2024-09-18,POS Machine,310.37
2024-09-18,Swiggy,7456.27
2024-09-18,SHAJAHAN POOKODAN,935.0
2024-09-18,Google Pay,12636.79
2024-09-19,POS Machine,3134.7
2024-09-19,Google Pay,8208.12
2024-09-20,Google Pay,12508.03
2024-09-21,POS Machine,525.0
2024-09-21,Google Pay,8135.0
2024-09-22,Google Pay,3817.0
2024-09-23,POS Machine,3916.17
2024-09-23,Google Pay,3407.02
2024-09-24,POS Machine,1273.44
2024-09-24,Google Pay,7898.0
2024-09-24,Swiggy,12756.61
2024-09-25,Google Pay,7901.66
2024-09-26,Google Pay,6830.97
2024-09-27,Google Pay,8421.0
2024-09-28,Google Pay,8081.66
2024-09-29,Google Pay,9894.0
2024-09-30,Google Pay,4167.0
2024-10-01,Google Pay,8795.0
2024-10-01,GOOGLE INDIA DIGITAL SERVICE,100.0
2024-10-02,Google Pay,8766.0
2024-10-03,POS Machine,513.0
2024-10-03,Google Pay,7060.0
2024-10-04,POS Machine,1443.5
2024-10-04,Swiggy,9850.26
2024-10-04,Google Pay,8904.0
2024-10-05,POS Machine,775.37
2024-10-05,Google Pay,12269.0
2024-10-06,Google Pay,11908.0
2024-10-07,Google Pay,2545.0
2024-10-08,POS Machine,2355.16
2024-10-08,Google Pay,13405.0
2024-10-09,Swiggy,6200.06
2024-10-09,Google Pay,8172.0
2024-10-10,Google Pay,7405.0
2024-10-11,Google Pay,18237.0
2024-10-12,POS Machine,473.7
2024-10-12,Google Pay,16019.0
2024-10-13,Google Pay,11782.0
2024-10-14,POS Machine,1179.46
2024-10-14,Google Pay,9361.0
2024-10-15,POS Machine,439.2
2024-10-15,Google Pay,6816.0
2024-10-16,POS Machine,875.47
2024-10-16,Swiggy,7867.92
2024-10-16,Google Pay,3342.0
2024-10-17,Google Pay,9163.0
2024-10-18,POS Machine,400.0
2024-10-18,Google Pay,6485.0
2024-10-19,POS Machine,357.0
2024-10-19,Google Pay,11258.0
2024-10-20,Google Pay,12159.0
2024-10-21,POS Machine,2476.14
2024-10-21,Google Pay,7107.0
2024-10-22,POS Machine,722.44
2024-10-22,Google Pay,9094.0
2024-10-23,Swiggy,8301.21
2024-10-23,Google Pay,5348.0
2024-10-24,Google Pay,7280.0
2024-10-25,POS Machine,372.83
2024-10-25,Google Pay,5638.0
2024-10-26,POS Machine,917.88
2024-10-26,Google Pay,10292.0
2024-10-26,GOOGLE INDIA DIGITAL SERVICE,125.0
2024-10-27,Google Pay,9499.0
2024-10-28,POS Machine,3778.16
2024-10-28,SHAJAHAN POOKODAN,626.0
2024-10-28,Google Pay,6461.0
2024-10-29,POS Machine,188.0
2024-10-29,Google Pay,4807.0
2024-10-30,Swiggy,3775.71
2024-10-30,Google Pay,3509.0
2024-10-31,POS Machine,285.97
2024-10-31,Google Pay,14138.0
2024-11-01,POS Machine,1150.48
2024-11-01,Google Pay,11683.0
2024-11-02,Google Pay,7359.0
2024-11-02,Google Pay,2616.0
2024-11-03,Google Pay,11886.0
2024-11-04,POS Machine,5037.39
2024-11-04,Google Pay,7787.0
2024-11-05,POS Machine,1342.98
2024-11-05,Swiggy,6876.91
2024-11-05,Google Pay,11436.0
2024-11-06,POS Machine,879.02
2024-11-06,Google Pay,6619.0
2024-11-07,POS Machine,558.27
2024-11-07,Google Pay,9059.0
2024-11-08,Google Pay,7698.0
2024-11-09,Google Pay,13060.0
2024-11-10,Google Pay,11240.0
2024-11-11,POS Machine,337.93
2024-11-11,Google Pay,9838.0
2024-11-12,POS Machine,414.8
2024-11-12,Google Pay,5760.0
2024-11-13,Swiggy,13437.77
2024-11-13,Google Pay,34310.0
2024-11-14,POS Machine,832.0
2024-11-14,Google Pay,10977.0
2024-11-15,POS Machine,1330.91
2024-11-15,Google Pay,12077.0
2024-11-16,Google Pay,12071.0
2024-11-17,Google Pay,8498.0
2024-11-18,POS Machine,390.45
2024-11-18,Google Pay,10365.0
2024-11-19,Google Pay,5399.0
2024-11-20,POS Machine,818.86
2024-11-20,Swiggy,8141.35
2024-11-20,Google Pay,9390.0
2024-11-21,POS Machine,821.38
2024-11-21,Google Pay,7784.0
2024-11-22,POS Machine,473.7
2024-11-22,Google Pay,8956.0
2024-11-23,Google Pay,8958.0
2024-11-24,Google Pay,9756.0
2024-11-25,POS Machine,1807.37
2024-11-25,Google Pay,6101.0
2024-11-26,POS Machine,804.22
2024-11-26,Google Pay,9885.0
2024-11-27,POS Machine,459.7
2024-11-27,Swiggy,6280.72
2024-11-27,Google Pay,10498.0
2024-11-28,POS Machine,214.72
2024-11-28,Google Pay,2321.0
2024-11-29,Google Pay,8262.0
2024-11-30,POS Machine,241.81
2024-11-30,Google Pay,14212.0
2024-12-01,Google Pay,17372.0
2024-12-02,Google Pay,10847.0
2024-12-03,POS Machine,449.94
2024-12-03,Google Pay,8757.0
2024-12-04,Swiggy,9187.9
2024-12-04,Google Pay,11048.0
2024-12-05,Google Pay,14311.0
2024-12-06,POS Machine,2083.64
2024-12-06,Google Pay,10635.0
2024-12-07,Google Pay,13164.0
2024-12-08,Google Pay,14222.0
2024-12-09,POS Machine,3677.23
2024-12-09,Google Pay,6272.0
2024-12-10,POS Machine,503.0
2024-12-10,Google Pay,10358.0
2024-12-11,Swiggy,12737.19
2024-12-11,Google Pay,5544.0
2024-12-12,POS Machine,734.93
2024-12-12,Google Pay,6076.0
2024-12-13,POS Machine,1614.98
2024-12-13,Google Pay,7995.1
2024-12-14,Google Pay,14122.0
2024-12-15,Google Pay,7313.0
2024-12-16,POS Machine,4160.44
2024-12-16,Google Pay,6306.0
2024-12-17,Google Pay,6247.0
2024-12-18,POS Machine,2074.98
2024-12-18,Swiggy,9284.72
2024-12-18,Google Pay,5354.0
2024-12-19,POS Machine,4285.93
2024-12-19,Google Pay,7426.0
2024-12-20,POS Machine,892.9
2024-12-20,Google Pay,5400.0
2024-12-21,POS Machine,953.55
2024-12-21,Google Pay,8392.0
2024-12-22,Google Pay,11941.0
2024-12-23,POS Machine,2583.47
2024-12-23,Google Pay,6563.0
2024-12-24,POS Machine,1051.15
2024-12-24,Google Pay,13518.0
2024-12-25,Swiggy,9008.81
2024-12-25,Google Pay,11293.0
2024-12-26,POS Machine,290.36
2024-12-26,Google Pay,7922.0
2024-12-27,POS Machine,277.06
2024-12-27,Google Pay,13635.0
2024-12-28,Google Pay,13684.0
2024-12-29,Google Pay,8038.0
2024-12-30,POS Machine,3503.34
2024-12-30,Google Pay,3364.0
2024-12-31,Google Pay,20617.0
2023-01-01,Google Pay,10048.0
2023-01-02,Pos Settlement,3231.09
2023-01-02,Google Pay,8551.0
2023-01-03,Pos Settlement,4207.95
2023-01-03,Google Pay,6206.0
2023-01-04,Pos Settlement,1418.6
2023-01-05,Google Pay,7243.0
2023-01-05,Pos Settlement,449.91
2023-01-06,Google Pay,6767.0
2023-01-06,Google Pay,3382.0
2023-01-07,Pos Settlement,1678.98
2023-01-07,Google Pay,8983.0
2023-01-08,Google Pay,8972.0
2023-01-09,Pos Settlement,3646.39
2023-01-09,Google Pay,2114.0
2023-01-10,Pos Settlement,332.82
2023-01-10,Google Pay,3760.0
2023-01-11,Pos Settlement,303.22
2023-01-12,Google Pay,4149.0
2023-01-12,Pos Settlement,277.0
2023-01-12,Google Pay,6567.0
2023-01-13,Pos Settlement,180.14
2023-01-13,Google Pay,7191.0
2023-01-14,Google Pay,4624.0
2023-01-15,Google Pay,9903.0
2023-01-16,Pos Settlement,4765.47
2023-01-17,Google Pay,7617.0
2023-01-17,Phonepe Private Limited,247.0
2023-01-18,Google Pay,3726.0
2023-01-18,Pos Settlement,203.15
2023-01-18,Google Pay,4335.0
2023-01-19,Google Pay,4293.0
2023-01-20,Pos Settlement,2005.22
2023-01-20,Google Pay,10020.0
2023-01-21,Pos Settlement,1818.7
2023-01-21,Google Pay,6128.0
2023-01-23,Google Pay,5991.0
2023-01-23,Pos Settlement,3000.65
2023-01-24,Google Pay,6564.0
2023-01-24,Google Pay,3529.0
2023-01-25,Pos Settlement,450.34
2023-01-26,Google Pay,1820.0
2023-01-27,Google Pay,8414.0
2023-01-27,Pos Settlement,2661.58
2023-01-27,Google Pay,10683.0
2023-01-28,Pos Settlement,476.67
2023-01-28,Google Pay,8229.0
2023-01-29,Google Pay,8736.0
2023-01-30,Pos Settlement,3573.1
2023-01-30,Google Pay,3707.0
2023-01-31,Google Pay,5669.0
2023-02-02,Google Pay,3543.0
2023-02-02,Pos Settlement,223.97
2023-02-03,Google Pay,4027.0
2023-02-03,Pos Settlement,603.06
2023-02-03,Google Pay,7915.0
2023-02-04,Pos Settlement,551.41
2023-02-05,Google Pay,7150.0
2023-02-06,Google Pay,11077.0
2023-02-06,Pos Settlement,1762.66
2023-02-06,Google Pay,5712.0
2023-02-07,Pos Settlement,2307.43
2023-02-07,Google Pay,1215.0
2023-02-08,Pos Settlement,1535.53
2023-02-08,Google Pay,5970.0
2023-02-09,Google Pay,8628.0
2023-02-10,Google Pay,7999.0
2023-02-11,Pos Settlement,860.19
2023-02-11,Google Pay,7835.0
2023-02-13,Google Pay,5933.0
2023-02-13,Pos Settlement,1016.0
2023-02-13,Google Pay,5304.0
2023-02-14,Pos Settlement,4989.28
2023-02-14,Google Pay,6387.0
2023-02-15,Pos Settlement,1329.4
2023-02-15,Google Pay,5898.0
2023-02-16,Google Pay,4216.0
2023-02-17,Pos Settlement,1461.3
2023-02-17,Google Pay,10730.0
2023-02-18,Pos Settlement,415.23
2023-02-18,Google Pay,3887.0
2023-02-19,Google Pay,3974.0
2023-02-20,Pos Settlement,1390.81
2023-02-21,Google Pay,3924.0
2023-02-21,Pos Settlement,1713.86
2023-02-21,Google Pay,7749.0
2023-02-22,Pos Settlement,502.23
2023-02-23,Google Pay,7503.0
2023-02-23,Pos Settlement,464.78
2023-02-23,Google Pay,5635.0
2023-02-24,Pos Settlement,1776.24
2023-02-24,By Cash Br:Cherpulassery/Abafp9102H,17500.0
2023-02-24,Google Pay,8906.0
2023-02-25,Google Pay,6859.0
2023-02-27,Google Pay,5728.0
2023-02-27,Pos Settlement,444.0
2023-02-28,Google Pay,5758.0
2023-02-28,Google Pay,7903.0
2023-03-01,Pos Settlement,2009.22
2023-03-01,Google Pay,3111.0
2023-03-03,Google Pay,2284.0
2023-03-03,Pos Settlement,5103.74
2023-03-03,Google Pay,6574.0
2023-03-04,Google Pay,11329.0
2023-03-06,Google Pay,6800.0
2023-03-06,Pos Settlement,3575.58
2023-03-07,Google Pay,5065.0
2023-03-07,Pos Settlement,445.06
2023-03-07,Google Pay,3130.0
2023-03-08,Google Pay,8892.0
2023-03-09,Pos Settlement,1660.16
2023-03-10,Google Pay,2722.0
2023-03-10,Google Pay,10344.0
2023-03-11,Pos Settlement,1906.5
2023-03-11,Google Pay,14015.0
2023-03-13,Google Pay,13532.0
2023-03-13,Pos Settlement,3125.67
2023-03-13,Google Pay,4813.0
2023-03-14,Google Pay,6824.0
2023-03-15,Google Pay,6733.0
2023-03-16,Pos Settlement,1142.13
2023-03-16,Google Pay,6506.0
2023-03-18,Google Pay,9116.0
2023-03-18,Pos Settlement,1304.15
2023-03-19,Google Pay,5956.0
2023-03-19,Google Pay,7181.0
2023-03-20,Pos Settlement,2751.87
2023-03-21,Google Pay,6414.0
2023-03-21,Google Pay,9524.0
2023-03-22,Pos Settlement,311.17
