year_month,Particulars,Deposits
2024-02,Swiggy,22246.45
2024-01,Google Pay,204744.0
2024-01,POS Machine,27150.469999999998
2024-01,Swiggy,32475.030000000002
2023-12,Bundl Technologies Pvt Ltd,4459.0
2023-12,Bundl Technologies Pvt Ltd Nodal Ac,22285.37
2023-12,Google Pay,276942.0
2023-12,Pos Settlement,28085.08
2023-11,Bundl Technologies Pvt Ltd,5073.54
2023-11,Bundl Technologies Pvt Ltd Nodal Ac,30389.96
2023-11,Google Pay,224484.0
2023-11,Pos Settlement,27544.840000000004
2023-11,Shajahan Pookodan,435.0
2023-10,Bundl Technologies Pvt Ltd,3733.3
2023-10,Bundl Technologies Pvt Ltd Nodal Ac,23618.57
2023-10,Google Pay,242694.0
2023-10,Pos Settlement,34566.47999999999
2023-09,Bundl Technologies Pvt Ltd,4805.030000000001
2023-09,Bundl Technologies Pvt Ltd Nodal Ac,22972.29
2023-09,By Cash Br:Cherpulassery/Abafp9102H,23000.0
2023-09,Google Pay,268585.0
2023-09,Pos Settlement,24397.620000000003
2023-09,Upi/Esmf/324490759909/Hamzathul Siyad K/Upi/Hdf38Cb5Acccfcb4Bdd9B4261252Be72Fb7/Siyadsiu48-1@O,22000.0
2023-08,Abdul Rasheed,1850.0
2023-08,Bundl Technologies Pvt Ltd,4097.999999999999
2023-08,Bundl Technologies Pvt Ltd Nodal Ac,26162.35
2023-08,By Cash Br:Cherpulassery/Abafp9102H,7000.0
2023-08,Google Pay,218003.0
2023-08,Pos Settlement,21895.3
2023-08,Shajahan Pookodan,1802.0
2023-07,Bundl Technologies Pvt Ltd,2883.85
2023-07,Bundl Technologies Pvt Ltd Nodal Ac,17050.239999999998
2023-07,Google Pay,247185.0
2023-07,Pos Settlement,37514.47
2023-06,Bundl Technologies Pvt Ltd,1572.37
2023-06,Bundl Technologies Pvt Ltd Nodal Ac,12931.2
2023-06,Google Pay,218548.0
2023-06,Pos Settlement,30628.899999999994
2023-05,Bundl Technologies Pvt Ltd,674.6700000000001
2023-05,Bundl Technologies Pvt Ltd Nodal Ac,6736.570000000001
2023-05,Google Pay,284912.0
2023-05,Phonepe Private Limited-Payment Agg,452.0
2023-05,Pos Settlement,49908.850000000006
2023-04,Google Pay,233948.0
2023-04,Pos Settlement,17673.340000000004
2023-03,Google Pay,203895.0
2023-03,Pos Settlement,28272.62
2023-02,By Cash Br:Cherpulassery/Abafp9102H,17500.0
2023-02,Google Pay,177365.0
2023-02,Pos Settlement,23347.38
2023-01,Google Pay,197921.0
2023-01,Phonepe Private Limited,247.0
2023-01,Pos Settlement,34680.979999999996
