year_month,Date,Vendor_Name,Amount
2026-02,2026-02-25,Local Purchase,520.0
2026-02,2026-02-26,Local Purchase,196.0
2026-02,2026-02-27,Local Purchase,400.0
2026-02,2026-02-28,Local Purchase,1443.0
2026-02,2026-02-07,Local Purchase-Gas AGency,3560.0
2026-02,2026-02-14,Local Purchase-Gas AGency,3560.0
2026-02,2026-02-21,Local Purchase-Gas AGency,3560.0
2026-02,2026-02-27,Local Purchase-Gas AGency,3560.0
2026-02,2026-02-07,RK Agencies,4850.0
2026-02,2026-02-16,RK Agencies,3545.0
2026-02,2026-02-07,Ranjith Loocos,1050.0
2026-02,2026-02-03,bistro frozen,7641.0
2026-02,2026-02-10,bistro frozen,8870.0
2026-02,2026-02-17,bistro frozen,7582.0
2026-02,2026-02-24,bistro frozen,11831.0
2026-02,2026-02-01,shabana chicken stall,1147.0
2026-02,2026-02-02,shabana chicken stall,884.0
2026-02,2026-02-03,shabana chicken stall,775.0
2026-02,2026-02-05,shabana chicken stall,825.0
2026-02,2026-02-07,shabana chicken stall,1435.0
2026-02,2026-02-10,shabana chicken stall,710.0
2026-02,2026-02-11,shabana chicken stall,826.0
2026-02,2026-02-12,shabana chicken stall,869.0
2026-02,2026-02-15,shabana chicken stall,918.0
2026-02,2026-02-19,shabana chicken stall,518.0
2026-02,2026-02-21,shabana chicken stall,623.0
2026-02,2026-02-23,shabana chicken stall,855.0
2026-02,2026-02-24,shabana chicken stall,681.0
2026-02,2026-02-25,shabana chicken stall,855.0
2026-02,2026-02-26,shabana chicken stall,710.0
2026-02,2026-02-27,shabana chicken stall,900.0
2026-02,2026-02-28,shabana chicken stall,975.0
2026-01,2026-01-08,BERRY FRESH,1300.0
2026-01,2026-01-10,Essar Associates,4163.0
2026-01,2026-01-21,Essar Associates,2494.0
2026-01,2026-01-31,Essar Associates,1032.0
2026-01,2026-01-01,Isha Fresh Vegitables (Hisham),376.0
2026-01,2026-01-10,Isha Fresh Vegitables (Hisham),1042.0
2026-01,2026-01-24,Isha Fresh Vegitables (Hisham),598.0
2026-01,2026-01-01,KTP Vegitables,433.0
2026-01,2026-01-02,KTP Vegitables,1112.0
2026-01,2026-01-03,KTP Vegitables,270.0
2026-01,2026-01-06,KTP Vegitables,265.0
2026-01,2026-01-07,KTP Vegitables,474.0
2026-01,2026-01-09,KTP Vegitables,418.0
2026-01,2026-01-10,KTP Vegitables,201.0
2026-01,2026-01-11,KTP Vegitables,684.0
2026-01,2026-01-14,KTP Vegitables,415.0
2026-01,2026-01-16,KTP Vegitables,403.0
2026-01,2026-01-17,KTP Vegitables,210.0
2026-01,2026-01-21,KTP Vegitables,605.0
2026-01,2026-01-22,KTP Vegitables,143.0
2026-01,2026-01-23,KTP Vegitables,280.0
2026-01,2026-01-24,KTP Vegitables,391.0
2026-01,2026-01-26,KTP Vegitables,450.0
2026-01,2026-01-29,KTP Vegitables,134.0
2026-01,2026-01-30,KTP Vegitables,360.0
2026-01,2026-01-31,KTP Vegitables,621.0
2026-01,2026-01-02,Koonathil Traders,11700.0
2026-01,2026-01-09,Koonathil Traders,2886.0
2026-01,2026-01-16,Koonathil Traders,3197.0
2026-01,2026-01-30,Koonathil Traders,8911.0
2026-01,2026-01-08,Lakhsyam Foods,39649.0
2026-01,2026-01-03,Local Purchase,3119.0
2026-01,2026-01-04,Local Purchase,406.0
2026-01,2026-01-05,Local Purchase,175.0
2026-01,2026-01-06,Local Purchase,580.0
2026-01,2026-01-07,Local Purchase,990.0
2026-01,2026-01-08,Local Purchase,160.0
2026-01,2026-01-09,Local Purchase,430.0
2026-01,2026-01-10,Local Purchase,2155.0
2026-01,2026-01-11,Local Purchase,1088.0
2026-01,2026-01-12,Local Purchase,625.0
2026-01,2026-01-13,Local Purchase,360.0
2026-01,2026-01-14,Local Purchase,1070.0
2026-01,2026-01-15,Local Purchase,668.0
2026-01,2026-01-16,Local Purchase,578.0
2026-01,2026-01-17,Local Purchase,865.0
2026-01,2026-01-18,Local Purchase,3374.0
2026-01,2026-01-19,Local Purchase,180.0
2026-01,2026-01-20,Local Purchase,1218.0
2026-01,2026-01-21,Local Purchase,956.0
2026-01,2026-01-22,Local Purchase,2465.0
2026-01,2026-01-23,Local Purchase,296.0
2026-01,2026-01-24,Local Purchase,2036.0
2026-01,2026-01-25,Local Purchase,459.0
2026-01,2026-01-26,Local Purchase,690.0
2026-01,2026-01-27,Local Purchase,420.0
2026-01,2026-01-28,Local Purchase,459.0
2026-01,2026-01-29,Local Purchase,1030.0
2026-01,2026-01-30,Local Purchase,1796.0
2026-01,2026-01-31,Local Purchase,2587.0
2026-01,2026-01-03,Local Purchase-Gas AGency,3460.0
2026-01,2026-01-16,Local Purchase-Gas AGency,3460.0
2026-01,2026-01-23,Local Purchase-Gas AGency,3460.0
2026-01,2026-01-31,Local Purchase-Gas AGency,3460.0
2026-01,2026-01-11,Local Purchase-Petrol,1730.0
2026-01,2026-01-21,NEXT TRADERS,1538.0
2026-01,2026-01-02,RK Agencies,3480.0
2026-01,2026-01-10,RK Agencies,3480.0
2026-01,2026-01-21,RK Agencies,3500.0
2026-01,2026-01-26,RK Agencies,3510.0
2026-01,2026-01-07,abad fisheries pvt.ltd,3258.0
2026-01,2026-01-28,abad fisheries pvt.ltd,2783.0
2026-01,2026-01-06,bistro frozen,12907.0
2026-01,2026-01-20,bistro frozen,13713.0
2026-01,2026-01-27,bistro frozen,9532.0
2026-01,2026-01-01,shabana chicken stall,1435.0
2026-01,2026-01-02,shabana chicken stall,1303.0
2026-01,2026-01-04,shabana chicken stall,1620.0
2026-01,2026-01-05,shabana chicken stall,1105.0
2026-01,2026-01-07,shabana chicken stall,1517.0
2026-01,2026-01-10,shabana chicken stall,741.0
2026-01,2026-01-11,shabana chicken stall,1102.0
2026-01,2026-01-14,shabana chicken stall,1140.0
2026-01,2026-01-15,shabana chicken stall,1691.0
2026-01,2026-01-17,shabana chicken stall,969.0
2026-01,2026-01-18,shabana chicken stall,608.0
2026-01,2026-01-20,shabana chicken stall,1140.0
2026-01,2026-01-22,shabana chicken stall,954.0
2026-01,2026-01-23,shabana chicken stall,682.0
2026-01,2026-01-24,shabana chicken stall,1171.0
2026-01,2026-01-25,shabana chicken stall,1270.0
2026-01,2026-01-28,shabana chicken stall,1008.0
2026-01,2026-01-29,shabana chicken stall,976.0
2026-01,2026-01-31,shabana chicken stall,2160.0
2025-12,2025-12-10,BERRY FRESH,1300.0
2025-12,2025-12-06,Essar Associates,4539.0
2025-12,2025-12-17,Essar Associates,1877.0
2025-12,2025-12-24,Essar Associates,1611.0
2025-12,2025-12-31,Essar Associates,2681.0
2025-12,2025-12-08,Isha Fresh Vegitables (Hisham),738.0
2025-12,2025-12-19,Isha Fresh Vegitables (Hisham),1331.0
2025-12,2025-12-27,Isha Fresh Vegitables (Hisham),974.0
2025-12,2025-12-04,KTP Vegitables,392.0
2025-12,2025-12-06,KTP Vegitables,417.0
2025-12,2025-12-09,KTP Vegitables,458.0
2025-12,2025-12-11,KTP Vegitables,337.0
2025-12,2025-12-13,KTP Vegitables,590.0
2025-12,2025-12-14,KTP Vegitables,304.0
2025-12,2025-12-15,KTP Vegitables,121.0
2025-12,2025-12-17,KTP Vegitables,365.0
2025-12,2025-12-19,KTP Vegitables,390.0
2025-12,2025-12-20,KTP Vegitables,375.0
2025-12,2025-12-22,KTP Vegitables,517.0
2025-12,2025-12-23,KTP Vegitables,493.0
2025-12,2025-12-25,KTP Vegitables,518.0
2025-12,2025-12-26,KTP Vegitables,394.0
2025-12,2025-12-27,KTP Vegitables,308.0
2025-12,2025-12-28,KTP Vegitables,434.0
2025-12,2025-12-29,KTP Vegitables,330.0
2025-12,2025-12-30,KTP Vegitables,248.0
2025-12,2025-12-05,Koonathil Traders,5334.0
2025-12,2025-12-12,Koonathil Traders,1028.0
2025-12,2025-12-19,Koonathil Traders,5030.0
2025-12,2025-12-26,Koonathil Traders,6258.0
2025-12,2025-12-18,Lakhsyam Foods,2897.0
2025-12,2025-12-26,Lakhsyam Foods,1155.0
2025-12,2025-12-01,Local Purchase,1140.0
2025-12,2025-12-04,Local Purchase,705.0
2025-12,2025-12-05,Local Purchase,1990.0
2025-12,2025-12-06,Local Purchase,2775.0
2025-12,2025-12-07,Local Purchase,395.0
2025-12,2025-12-08,Local Purchase,100.0
2025-12,2025-12-10,Local Purchase,1278.0
2025-12,2025-12-11,Local Purchase,1128.0
2025-12,2025-12-13,Local Purchase,1184.0
2025-12,2025-12-14,Local Purchase,156.0
2025-12,2025-12-15,Local Purchase,681.0
2025-12,2025-12-16,Local Purchase,271.0
2025-12,2025-12-17,Local Purchase,556.0
2025-12,2025-12-18,Local Purchase,1491.0
2025-12,2025-12-20,Local Purchase,1833.0
2025-12,2025-12-21,Local Purchase,266.0
2025-12,2025-12-22,Local Purchase,586.0
2025-12,2025-12-23,Local Purchase,4330.0
2025-12,2025-12-25,Local Purchase,390.0
2025-12,2025-12-26,Local Purchase,3322.0
2025-12,2025-12-27,Local Purchase,228.0
2025-12,2025-12-28,Local Purchase,660.0
2025-12,2025-12-29,Local Purchase,1517.0
2025-12,2025-12-30,Local Purchase,4204.0
2025-12,2025-12-10,Local Purchase-Gas AGency,3240.0
2025-12,2025-12-15,Local Purchase-Gas AGency,3240.0
2025-12,2025-12-22,Local Purchase-Gas AGency,3240.0
2025-12,2025-12-22,NEXT TRADERS,1554.0
2025-12,2025-12-11,RK Agencies,3470.0
2025-12,2025-12-22,RK Agencies,3470.0
2025-12,2025-12-29,RK Agencies,3480.0
2025-12,2025-12-17,abad fisheries pvt.ltd,425.0
2025-12,2025-12-02,bistro frozen,13823.0
2025-12,2025-12-16,bistro frozen,12565.0
2025-12,2025-12-23,bistro frozen,20401.0
2025-12,2025-12-30,bistro frozen,5482.0
2025-12,2025-12-04,shabana chicken stall,1580.0
2025-12,2025-12-06,shabana chicken stall,1247.0
2025-12,2025-12-08,shabana chicken stall,1116.0
2025-12,2025-12-09,shabana chicken stall,797.0
2025-12,2025-12-10,shabana chicken stall,826.0
2025-12,2025-12-11,shabana chicken stall,710.0
2025-12,2025-12-12,shabana chicken stall,594.0
2025-12,2025-12-15,shabana chicken stall,1174.0
2025-12,2025-12-17,shabana chicken stall,812.0
2025-12,2025-12-19,shabana chicken stall,522.0
2025-12,2025-12-20,shabana chicken stall,1380.0
2025-12,2025-12-21,shabana chicken stall,944.0
2025-12,2025-12-23,shabana chicken stall,1307.0
2025-12,2025-12-25,shabana chicken stall,2138.0
2025-12,2025-12-28,shabana chicken stall,1221.0
2025-12,2025-12-29,shabana chicken stall,941.0
2025-12,2025-12-30,shabana chicken stall,1680.0
2025-11,2025-11-05,ABAD fisheries pvt Ltd,3310.0
2025-11,2025-11-12,ABAD fisheries pvt Ltd,2835.0
2025-11,2025-11-05,BERRY FRESH,840.0
2025-11,2025-11-01,Essar Associates,5113.0
2025-11,2025-11-12,Essar Associates,2553.0
2025-11,2025-11-22,Essar Associates,2222.0
2025-11,2025-11-06,Gayatri Traders OTP,4280.0
2025-11,2025-11-03,Isha Fresh Vegitables (Hisham),1009.0
2025-11,2025-11-14,Isha Fresh Vegitables (Hisham),1030.0
2025-11,2025-11-21,Isha Fresh Vegitables (Hisham),667.0
2025-11,2025-11-29,Isha Fresh Vegitables (Hisham),670.0
2025-11,2025-11-01,KTP Vegitables,315.0
2025-11,2025-11-03,KTP Vegitables,261.0
2025-11,2025-11-05,KTP Vegitables,443.0
2025-11,2025-11-08,KTP Vegitables,245.0
2025-11,2025-11-09,KTP Vegitables,290.0
2025-11,2025-11-10,KTP Vegitables,129.0
2025-11,2025-11-12,KTP Vegitables,388.0
2025-11,2025-11-14,KTP Vegitables,314.0
2025-11,2025-11-15,KTP Vegitables,198.0
2025-11,2025-11-17,KTP Vegitables,304.0
2025-11,2025-11-18,KTP Vegitables,4146.0
2025-11,2025-11-19,KTP Vegitables,521.0
2025-11,2025-11-22,KTP Vegitables,472.0
2025-11,2025-11-23,KTP Vegitables,104.0
2025-11,2025-11-25,KTP Vegitables,459.0
2025-11,2025-11-28,KTP Vegitables,428.0
2025-11,2025-11-29,KTP Vegitables,216.0
2025-11,2025-11-30,KTP Vegitables,252.0
2025-11,2025-11-07,Koonathil Traders,650.0
2025-11,2025-11-14,Koonathil Traders,9272.0
2025-11,2025-11-09,Lakhsyam Foods,1155.0
2025-11,2025-11-18,Lakhsyam Foods,31390.0
2025-11,2025-11-01,Local Purchase,2734.0
2025-11,2025-11-02,Local Purchase,96.0
2025-11,2025-11-03,Local Purchase,686.0
2025-11,2025-11-04,Local Purchase,1777.0
2025-11,2025-11-05,Local Purchase,586.0
2025-11,2025-11-06,Local Purchase,112.0
2025-11,2025-11-07,Local Purchase,1250.0
2025-11,2025-11-08,Local Purchase,2265.0
2025-11,2025-11-09,Local Purchase,228.0
2025-11,2025-11-10,Local Purchase,3020.0
2025-11,2025-11-11,Local Purchase,96.0
2025-11,2025-11-12,Local Purchase,1316.0
2025-11,2025-11-15,Local Purchase,2106.0
2025-11,2025-11-16,Local Purchase,96.0
2025-11,2025-11-17,Local Purchase,515.0
2025-11,2025-11-18,Local Purchase,1908.0
2025-11,2025-11-19,Local Purchase,885.0
2025-11,2025-11-20,Local Purchase,3011.0
2025-11,2025-11-21,Local Purchase,858.0
2025-11,2025-11-22,Local Purchase,1972.0
2025-11,2025-11-23,Local Purchase,302.0
2025-11,2025-11-24,Local Purchase,2060.0
2025-11,2025-11-25,Local Purchase,451.0
2025-11,2025-11-26,Local Purchase,2832.0
2025-11,2025-11-27,Local Purchase,610.0
2025-11,2025-11-28,Local Purchase,801.0
2025-11,2025-11-29,Local Purchase,2103.0
2025-11,2025-11-01,Local Purchase-Gas AGency,1640.0
2025-11,2025-11-06,Local Purchase-Gas AGency,3260.0
2025-11,2025-11-12,Local Purchase-Gas AGency,3260.0
2025-11,2025-11-18,Local Purchase-Gas AGency,6520.0
2025-11,2025-11-24,Local Purchase-Gas AGency,3260.0
2025-11,2025-11-18,Loocos Pizza CPY,1908.0
2025-11,2025-11-04,bistro frozen,11483.0
2025-11,2025-11-12,bistro frozen,2556.0
2025-11,2025-11-18,bistro frozen,23903.0
2025-11,2025-11-25,bistro frozen,4193.0
2025-11,2025-11-01,shabana chicken stall,638.0
2025-11,2025-11-02,shabana chicken stall,1189.0
2025-11,2025-11-04,shabana chicken stall,986.0
2025-11,2025-11-07,shabana chicken stall,711.0
2025-11,2025-11-09,shabana chicken stall,1160.0
2025-11,2025-11-10,shabana chicken stall,885.0
2025-11,2025-11-11,shabana chicken stall,1117.0
2025-11,2025-11-12,shabana chicken stall,740.0
2025-11,2025-11-14,shabana chicken stall,711.0
2025-11,2025-11-16,shabana chicken stall,1320.0
2025-11,2025-11-17,shabana chicken stall,2693.0
2025-11,2025-11-18,shabana chicken stall,5443.0
2025-11,2025-11-19,shabana chicken stall,1406.0
2025-11,2025-11-26,shabana chicken stall,971.0
2025-11,2025-11-28,shabana chicken stall,1189.0
2025-11,2025-11-29,shabana chicken stall,1406.0
2025-11,2025-11-30,shabana chicken stall,768.0
2025-10,2025-10-01,ABAD fisheries pvt Ltd,1985.0
2025-10,2025-10-22,ABAD fisheries pvt Ltd,2835.0
2025-10,2025-10-02,BERRY FRESH,560.0
2025-10,2025-10-17,BERRY FRESH,1110.0
2025-10,2025-10-01,Essar Associates,2165.0
2025-10,2025-10-11,Essar Associates,3658.0
2025-10,2025-10-22,Essar Associates,2947.0
2025-10,2025-10-29,Essar Associates,558.0
2025-10,2025-10-24,Gayatri Traders OTP,4280.0
2025-10,2025-10-01,Isha Fresh Vegitables (Hisham),640.0
2025-10,2025-10-13,Isha Fresh Vegitables (Hisham),1176.0
2025-10,2025-10-24,Isha Fresh Vegitables (Hisham),1111.0
2025-10,2025-10-01,KTP Vegitables,225.0
2025-10,2025-10-02,KTP Vegitables,140.0
2025-10,2025-10-03,KTP Vegitables,244.0
2025-10,2025-10-04,KTP Vegitables,115.0
2025-10,2025-10-05,KTP Vegitables,246.0
2025-10,2025-10-06,KTP Vegitables,168.0
2025-10,2025-10-08,KTP Vegitables,341.0
2025-10,2025-10-10,KTP Vegitables,268.0
2025-10,2025-10-11,KTP Vegitables,192.0
2025-10,2025-10-13,KTP Vegitables,379.0
2025-10,2025-10-16,KTP Vegitables,481.0
2025-10,2025-10-18,KTP Vegitables,255.0
2025-10,2025-10-19,KTP Vegitables,207.0
2025-10,2025-10-21,KTP Vegitables,307.0
2025-10,2025-10-22,KTP Vegitables,125.0
2025-10,2025-10-23,KTP Vegitables,327.0
2025-10,2025-10-25,KTP Vegitables,402.0
2025-10,2025-10-31,KTP Vegitables,275.0
2025-10,2025-10-03,Koonathil Traders,5445.0
2025-10,2025-10-10,Koonathil Traders,4598.0
2025-10,2025-10-17,Koonathil Traders,2145.0
2025-10,2025-10-24,Koonathil Traders,2885.0
2025-10,2025-10-31,Koonathil Traders,8186.0
2025-10,2025-10-29,Lakhsyam Foods,770.0
2025-10,2025-10-01,Local Purchase,1021.0
2025-10,2025-10-02,Local Purchase,871.0
2025-10,2025-10-03,Local Purchase,150.0
2025-10,2025-10-04,Local Purchase,4495.0
2025-10,2025-10-05,Local Purchase,3156.0
2025-10,2025-10-06,Local Purchase,864.0
2025-10,2025-10-07,Local Purchase,355.0
2025-10,2025-10-08,Local Purchase,893.0
2025-10,2025-10-09,Local Purchase,470.0
2025-10,2025-10-10,Local Purchase,2513.0
2025-10,2025-10-11,Local Purchase,735.0
2025-10,2025-10-12,Local Purchase,356.0
2025-10,2025-10-14,Local Purchase,511.0
2025-10,2025-10-15,Local Purchase,606.0
2025-10,2025-10-16,Local Purchase,908.0
2025-10,2025-10-18,Local Purchase,2098.0
2025-10,2025-10-19,Local Purchase,1635.0
2025-10,2025-10-20,Local Purchase,2180.0
2025-10,2025-10-21,Local Purchase,1493.0
2025-10,2025-10-22,Local Purchase,499.0
2025-10,2025-10-23,Local Purchase,96.0
2025-10,2025-10-24,Local Purchase,1763.0
2025-10,2025-10-25,Local Purchase,3492.0
2025-10,2025-10-26,Local Purchase,343.0
2025-10,2025-10-27,Local Purchase,1786.0
2025-10,2025-10-28,Local Purchase,490.0
2025-10,2025-10-29,Local Purchase,1204.0
2025-10,2025-10-30,Local Purchase,466.0
2025-10,2025-10-07,Local Purchase-Gas AGency,3280.0
2025-10,2025-10-13,Local Purchase-Gas AGency,3280.0
2025-10,2025-10-20,Local Purchase-Gas AGency,3280.0
2025-10,2025-10-27,Local Purchase-Gas AGency,3280.0
2025-10,2025-10-07,bistro frozen,16254.0
2025-10,2025-10-14,bistro frozen,4921.0
2025-10,2025-10-28,bistro frozen,21155.0
2025-10,2025-10-01,shabana chicken stall,702.0
2025-10,2025-10-02,shabana chicken stall,810.0
2025-10,2025-10-03,shabana chicken stall,658.0
2025-10,2025-10-05,shabana chicken stall,1120.0
2025-10,2025-10-08,shabana chicken stall,634.0
2025-10,2025-10-10,shabana chicken stall,988.0
2025-10,2025-10-11,shabana chicken stall,936.0
2025-10,2025-10-12,shabana chicken stall,546.0
2025-10,2025-10-14,shabana chicken stall,1131.0
2025-10,2025-10-17,shabana chicken stall,520.0
2025-10,2025-10-18,shabana chicken stall,819.0
2025-10,2025-10-19,shabana chicken stall,540.0
2025-10,2025-10-22,shabana chicken stall,1246.0
2025-10,2025-10-23,shabana chicken stall,700.0
2025-10,2025-10-25,shabana chicken stall,1590.0
2025-10,2025-10-26,shabana chicken stall,1344.0
2025-10,2025-10-30,shabana chicken stall,1160.0
2025-10,2025-10-31,shabana chicken stall,560.0
2025-09,2025-09-03,BERRY FRESH,1300.0
2025-09,2025-09-03,Essar Associates,1500.0
2025-09,2025-09-10,Essar Associates,5002.0
2025-09,2025-09-17,Essar Associates,1480.0
2025-09,2025-09-24,Essar Associates,2593.0
2025-09,2025-09-12,Gayatri Traders OTP,4240.0
2025-09,2025-09-05,Isha Fresh Vegitables (Hisham),521.0
2025-09,2025-09-13,Isha Fresh Vegitables (Hisham),1169.0
2025-09,2025-09-22,Isha Fresh Vegitables (Hisham),1081.0
2025-09,2025-09-01,KTP Vegitables,488.0
2025-09,2025-09-03,KTP Vegitables,385.0
2025-09,2025-09-04,KTP Vegitables,380.0
2025-09,2025-09-05,KTP Vegitables,460.0
2025-09,2025-09-07,KTP Vegitables,532.0
2025-09,2025-09-10,KTP Vegitables,609.0
2025-09,2025-09-13,KTP Vegitables,383.0
2025-09,2025-09-15,KTP Vegitables,141.0
2025-09,2025-09-17,KTP Vegitables,198.0
2025-09,2025-09-18,KTP Vegitables,170.0
2025-09,2025-09-19,KTP Vegitables,202.0
2025-09,2025-09-20,KTP Vegitables,400.0
2025-09,2025-09-23,KTP Vegitables,415.0
2025-09,2025-09-26,KTP Vegitables,412.0
2025-09,2025-09-27,KTP Vegitables,306.0
2025-09,2025-09-30,KTP Vegitables,381.0
2025-09,2025-09-12,Koonathil Traders,13249.0
2025-09,2025-09-04,Lakhsyam Foods,10655.0
2025-09,2025-09-23,Lakhsyam Foods,36895.0
2025-09,2025-09-01,Local Purchase,537.0
2025-09,2025-09-02,Local Purchase,1780.0
2025-09,2025-09-03,Local Purchase,3359.0
2025-09,2025-09-04,Local Purchase,278.0
2025-09,2025-09-06,Local Purchase,3086.0
2025-09,2025-09-07,Local Purchase,215.0
2025-09,2025-09-08,Local Purchase,4501.0
2025-09,2025-09-09,Local Purchase,813.0
2025-09,2025-09-10,Local Purchase,1505.0
2025-09,2025-09-11,Local Purchase,215.0
2025-09,2025-09-12,Local Purchase,2370.0
2025-09,2025-09-13,Local Purchase,343.0
2025-09,2025-09-14,Local Purchase,96.0
2025-09,2025-09-15,Local Purchase,1268.0
2025-09,2025-09-16,Local Purchase,418.0
2025-09,2025-09-17,Local Purchase,443.0
2025-09,2025-09-18,Local Purchase,582.0
2025-09,2025-09-19,Local Purchase,2471.0
2025-09,2025-09-20,Local Purchase,1954.0
2025-09,2025-09-21,Local Purchase,430.0
2025-09,2025-09-22,Local Purchase,525.0
2025-09,2025-09-23,Local Purchase,2020.0
2025-09,2025-09-24,Local Purchase,268.0
2025-09,2025-09-25,Local Purchase,578.0
2025-09,2025-09-26,Local Purchase,430.0
2025-09,2025-09-27,Local Purchase,2255.0
2025-09,2025-09-28,Local Purchase,571.0
2025-09,2025-09-29,Local Purchase,316.0
2025-09,2025-09-30,Local Purchase,1848.0
2025-09,2025-09-02,Local Purchase-Gas AGency,3240.0
2025-09,2025-09-10,Local Purchase-Gas AGency,3240.0
2025-09,2025-09-16,Local Purchase-Gas AGency,3240.0
2025-09,2025-09-23,Local Purchase-Gas AGency,3240.0
2025-09,2025-09-02,bistro frozen,5496.0
2025-09,2025-09-09,bistro frozen,16679.0
2025-09,2025-09-16,bistro frozen,13338.0
2025-09,2025-09-23,bistro frozen,2617.0
2025-09,2025-09-30,bistro frozen,9092.0
2025-09,2025-09-03,shabana chicken stall,1484.0
2025-09,2025-09-05,shabana chicken stall,1400.0
2025-09,2025-09-06,shabana chicken stall,700.0
2025-09,2025-09-07,shabana chicken stall,957.0
2025-09,2025-09-08,shabana chicken stall,854.0
2025-09,2025-09-09,shabana chicken stall,1305.0
2025-09,2025-09-11,shabana chicken stall,1407.0
2025-09,2025-09-12,shabana chicken stall,1035.0
2025-09,2025-09-13,shabana chicken stall,900.0
2025-09,2025-09-16,shabana chicken stall,884.0
2025-09,2025-09-18,shabana chicken stall,681.0
2025-09,2025-09-19,shabana chicken stall,667.0
2025-09,2025-09-20,shabana chicken stall,638.0
2025-09,2025-09-21,shabana chicken stall,681.0
2025-09,2025-09-23,shabana chicken stall,594.0
2025-09,2025-09-25,shabana chicken stall,660.0
2025-09,2025-09-26,shabana chicken stall,634.0
2025-09,2025-09-27,shabana chicken stall,670.0
2025-09,2025-09-28,shabana chicken stall,672.0
2025-09,2025-09-30,shabana chicken stall,5099.0
2025-08,2025-08-22,Dhanalaxmi traders,2700.0
2025-08,2025-08-09,Essar Associates,2570.0
2025-08,2025-08-13,Essar Associates,2144.0
2025-08,2025-08-23,Essar Associates,2775.0
2025-08,2025-08-07,Gayatri Traders OTP,4240.0
2025-08,2025-08-21,Gayatri Traders OTP,4240.0
2025-08,2025-08-09,Isha Fresh Vegitables (Hisham),1048.0
2025-08,2025-08-19,Isha Fresh Vegitables (Hisham),1141.0
2025-08,2025-08-29,Isha Fresh Vegitables (Hisham),1369.0
2025-08,2025-08-01,KTP Vegitables,251.0
2025-08,2025-08-05,KTP Vegitables,399.0
2025-08,2025-08-08,KTP Vegitables,472.0
2025-08,2025-08-10,KTP Vegitables,663.0
2025-08,2025-08-13,KTP Vegitables,317.0
2025-08,2025-08-14,KTP Vegitables,323.0
2025-08,2025-08-16,KTP Vegitables,476.0
2025-08,2025-08-18,KTP Vegitables,182.0
2025-08,2025-08-19,KTP Vegitables,425.0
2025-08,2025-08-20,KTP Vegitables,394.0
2025-08,2025-08-23,KTP Vegitables,475.0
2025-08,2025-08-25,KTP Vegitables,313.0
2025-08,2025-08-27,KTP Vegitables,474.0
2025-08,2025-08-29,KTP Vegitables,232.0
2025-08,2025-08-30,KTP Vegitables,370.0
2025-08,2025-08-08,Koonathil Traders,6563.0
2025-08,2025-08-22,Koonathil Traders,9738.0
2025-08,2025-08-29,Koonathil Traders,3632.0
2025-08,2025-08-22,Lakhsyam Foods,1620.0
2025-08,2025-08-01,Local Purchase,165.0
