Sales date,Amount,Cash Recieved Date,Deposits
2025-01-15,107.36,2025-01-16,107.36
2025-01-13,570.0,2025-01-14,570.0
2025-01-11,404.33,2025-01-13,404.33
2025-01-08,188.37,2025-01-09,188.37
2025-01-07,371.62,2025-01-08,371.62
2025-01-06,381.81,2025-01-07,381.81
2025-01-05,681.81,,
2025-01-04,932.0799999999999,,
2025-01-03,541.09,2025-01-04,541.09
2025-01-01,2486.31,2025-01-02,2486.31
2024-12-31,1715.2,2025-01-01,1715.2
2024-12-29,3241.77,,
2024-12-28,261.57,,
2024-12-26,277.06,2024-12-27,277.06
2024-12-25,290.36,2024-12-26,290.36
2024-12-23,1051.15,2024-12-24,1051.15
2024-12-22,711.5,,
2024-12-21,1871.97,,
2024-12-20,953.55,2024-12-21,953.55
2024-12-19,892.9000000000001,,
2024-12-18,4285.93,2024-12-19,4285.93
2024-12-17,2074.98,2024-12-18,2074.98
2024-12-15,4160.4400000000005,,
2024-12-12,1614.98,2024-12-13,1614.98
2024-12-11,734.93,2024-12-12,734.93
2024-12-09,503.0,2024-12-10,503.0
2024-12-08,691.0,,
2024-12-07,2986.23,,
2024-12-05,2083.64,2024-12-06,2083.64
2024-12-02,449.94,2024-12-03,449.94
2024-11-29,241.81,2024-11-30,241.81
2024-11-27,214.72,2024-11-28,214.72
2024-11-26,459.7,2024-11-27,459.7
2024-11-25,804.22,2024-11-26,804.22
2024-11-24,1248.88,,
2024-11-23,558.49,,
2024-11-21,473.7,2024-11-22,473.7
2024-11-20,821.38,2024-11-21,821.38
2024-11-19,818.86,2024-11-20,818.86
2024-11-17,390.45,2024-11-18,390.45
2024-11-14,1330.91,2024-11-15,1330.91
2024-11-13,3782.0,,
2024-11-11,414.8,2024-11-12,414.8
2024-11-09,337.93,2024-11-11,337.93
2024-11-06,558.27,2024-11-07,558.27
2024-11-05,879.02,2024-11-06,879.02
2024-11-04,1342.98,2024-11-05,1342.98
2024-11-03,2614.8,,
2024-11-02,2422.59,,
2024-10-31,1150.48,2024-11-01,1150.48
2024-10-30,285.97,2024-10-31,285.97
2024-10-28,188.0,2024-10-29,188.0
2024-10-27,1913.9300000000003,,
2024-10-26,1864.23,,
2024-10-25,917.8799999999999,,
2024-10-24,372.83,2024-10-25,372.83
2024-10-21,722.44,2024-10-22,722.44
2024-10-20,2032.17,,
2024-10-19,443.96999999999997,,
2024-10-18,357.0,2024-10-19,357.0
2024-10-17,400.0,2024-10-18,400.0
2024-10-15,875.47,2024-10-16,875.47
2024-10-14,439.2,2024-10-15,439.2
2024-10-12,1179.46,2024-10-14,1179.46
2024-10-11,473.7,2024-10-12,473.7
2024-10-06,2355.16,2024-10-08,2355.16
2024-10-04,775.37,2024-10-05,775.37
2024-10-03,1443.5,2024-10-04,1443.5
2024-10-02,513.0,2024-10-03,513.0
2024-09-23,1273.44,2024-09-24,1273.44
2024-09-22,3220.17,,
2024-09-21,696.0,,
2024-09-20,525.0,2024-09-21,525.0
2024-09-18,3134.7,2024-09-19,3134.7
2024-09-17,310.37,2024-09-18,310.37
2024-09-16,2971.3,2024-09-17,2971.3
2024-09-15,799.84,,
2024-09-14,1081.21,,
2024-09-08,367.66,,
2024-09-07,832.8199999999999,,
2024-09-03,290.36,2024-09-04,290.36
2024-09-02,609.46,2024-09-03,609.46
2024-09-01,466.53,,
2024-08-31,769.09,,
2024-08-25,1282.46,,
2024-08-24,347.46,,
2024-08-23,1407.47,2024-08-24,1407.47
2024-08-18,1353.3,2024-08-19,1353.3
2024-08-15,1039.4499999999998,,
2024-08-14,341.89,,
2024-08-12,828.62,2024-08-13,828.62
2024-08-11,1723.81,,
2024-08-10,3103.72,,
2024-08-09,1925.51,2024-08-10,1925.51
2024-08-08,1079.46,2024-08-09,1079.46
2024-08-07,1593.29,2024-08-08,1593.29
2024-08-05,538.11,2024-08-06,538.11
2024-08-04,479.71,,
2024-08-03,1248.22,,
2024-08-01,601.54,2024-08-02,601.54
2024-07-31,439.2,2024-08-01,439.2
2024-07-29,306.46,2024-07-30,306.46
2024-07-28,4687.29,,
2024-07-27,487.54,,
2024-07-26,399.43,2024-07-27,399.43
2024-07-25,326.96,2024-07-26,326.96
2024-07-24,1411.29,2024-07-25,1411.29
2024-07-23,1496.41,2024-07-24,1496.41
2024-07-22,1319.5500000000002,,
2024-07-21,265.59,,
2024-07-20,1540.13,,
2024-07-19,969.96,2024-07-20,969.96
2024-07-18,241.81,2024-07-19,241.81
2024-07-17,337.75,2024-07-18,337.75
2024-07-16,1170.0,2024-07-17,1170.0
2024-07-15,612.44,2024-07-16,612.44
2024-07-14,610.9,,
2024-07-13,1889.3100000000002,,
2024-07-11,265.47,2024-07-12,265.47
2024-07-10,283.0,2024-07-11,283.0
2024-07-09,749.2,2024-07-10,749.2
2024-07-08,3305.97,2024-07-09,3305.97
2024-07-07,2552.3900000000003,,
2024-07-06,2513.61,,
2024-07-05,1118.8400000000001,,
2024-07-03,895.97,2024-07-04,895.97
2024-07-02,2339.0699999999997,,
2024-07-01,1124.79,2024-07-02,1124.79
2024-06-29,5758.05,2024-07-01,5758.05
2024-06-28,579.74,2024-06-29,579.74
2024-06-27,327.03,2024-06-28,327.03
2024-06-24,366.0,2024-06-25,366.0
2024-06-23,786.0,2024-06-24,786.0
2024-06-19,1185.23,,
2024-06-18,2257.21,,
2024-06-17,396.26,2024-06-18,396.26
2024-06-15,534.22,2024-06-17,534.22
2024-06-14,3163.0,2024-06-15,3163.0
2024-06-13,19.82,2024-06-14,19.82
2024-06-12,527.06,2024-06-13,527.06
2024-06-10,929.07,2024-06-11,929.07
2024-06-08,1147.21,2024-06-10,1147.21
2024-06-07,680.27,2024-06-08,680.27
2024-06-06,1063.48,2024-06-07,1063.48
2024-06-05,706.58,2024-06-06,706.58
2024-06-04,2087.9,2024-06-05,2087.9
2024-06-03,976.98,2024-06-04,976.98
2024-06-02,1701.49,,
2024-06-01,3070.5699999999997,,
2024-05-31,1610.37,2024-06-01,1610.37
2024-05-29,1722.25,2024-05-30,1722.25
2024-05-28,855.2099999999999,,
2024-05-27,1215.12,2024-05-28,1215.12
2024-05-26,2636.73,2024-05-27,2636.73
2024-05-24,961.36,2024-05-25,961.36
2024-05-23,570.82,2024-05-24,570.82
2024-05-21,330.0,2024-05-22,330.0
2024-05-19,269.55,2024-05-20,269.55
2024-05-17,2522.2200000000003,,
2024-05-14,3034.15,2024-05-15,3034.15
2024-05-13,265.47,2024-05-14,265.47
2024-05-12,1004.3399999999999,,
2024-05-11,617.81,,
2024-05-09,1173.0,2024-05-10,1173.0
2024-05-08,3109.0,2024-05-09,3109.0
2024-05-05,323.06,,
2024-05-04,343.55,,
2024-05-03,312.32,2024-05-04,312.32
2024-05-02,397.0,2024-05-03,397.0
2024-05-01,381.81,2024-05-02,381.81
2024-04-30,366.0,2024-05-01,366.0
2024-04-29,503.21,2024-04-30,503.21
2024-04-28,852.81,,
2024-04-27,1500.25,,
2024-04-23,3552.23,2024-04-24,3552.23
2024-04-21,3152.77,,
2024-04-20,2011.31,,
2024-04-19,429.44,2024-04-20,429.44
2024-04-18,1190.72,2024-04-19,1190.72
2024-04-16,2162.82,2024-04-17,2162.82
2024-04-15,2385.35,,
2024-04-14,3888.2,,
2024-04-13,4874.01,2024-04-15,4874.01
2024-04-12,993.98,2024-04-13,993.98
2024-04-10,448.55,2024-04-11,448.55
2024-04-09,3510.62,2024-04-10,3510.62
2024-04-05,825.9,2024-04-06,825.9
2024-04-03,1843.27,2024-04-04,1843.27
2024-04-02,622.28,2024-04-03,622.28
2024-04-01,1107.0,2024-04-02,1107.0
2024-03-31,215.0,2024-04-01,215.0
2024-03-29,1030.65,2024-03-30,1030.65
2024-03-27,251.6,2024-03-28,251.6
2024-03-26,430.42,2024-03-27,430.42
2024-03-25,534.15,2024-03-26,534.15
2024-03-22,725.17,2024-03-23,725.17
2024-03-21,221.25,2024-03-22,221.25
2024-03-17,786.66,,
2024-03-16,659.78,,
2024-03-15,285.87,2024-03-16,285.87
2024-03-12,446.0,2024-03-13,446.0
2024-03-11,895.86,2024-03-12,895.86
2024-03-09,2291.79,2024-03-11,2291.79
2024-03-08,746.0,2024-03-09,746.0
2024-03-07,435.05,2024-03-08,435.05
2024-03-06,565.0,2024-03-07,565.0
2024-03-05,562.18,2024-03-06,562.18
2024-03-03,356.24,,
2024-03-02,1693.9,,
2024-03-01,2191.99,2024-03-02,2191.99
2024-02-27,441.99,2024-02-28,441.99
2024-02-26,460.13,2024-02-27,460.13
2024-02-25,1673.3899999999999,,
2024-02-24,728.1,,
2024-02-22,8220.95,2024-02-24,8220.95
2024-02-19,950.62,2024-02-20,950.62
2024-02-18,1018.31,,
2024-02-17,1676.57,,
2024-02-16,1097.04,2024-02-17,1097.04
2024-02-14,954.99,2024-02-15,954.99
2024-02-13,1798.77,2024-02-14,1798.77
2024-02-12,1354.9299999999998,,
2024-02-10,1318.62,2024-02-12,1318.62
2024-02-07,377.89,2024-02-08,377.89
2024-02-06,1605.74,2024-02-07,1605.74
2024-02-05,372.83,2024-02-06,372.83
2024-02-04,131.0,,
2024-02-03,1364.0900000000001,,
2024-02-02,1207.9499999999998,,
2024-01-30,2159.05,2024-01-31,2159.05
2024-01-29,1689.6599999999999,,
2024-01-28,654.06,,
2024-01-27,1444.48,,
2024-01-26,466.76,2024-01-27,466.76
2024-01-23,709.55,2024-01-24,709.55
2024-01-21,505.57,2024-01-22,505.57
2024-01-19,275.5,2024-01-20,275.5
2024-01-18,474.34,2024-01-19,474.34
2024-01-17,758.11,2024-01-18,758.11
2024-01-16,1470.0,2024-01-17,1470.0
2024-01-15,817.48,2024-01-16,817.48
2024-01-14,435.3,,
2024-01-13,2067.71,,
2024-01-12,1132.54,2024-01-13,1132.54
2024-01-11,570.82,2024-01-12,570.82
2024-01-10,1183.65,2024-01-11,1183.65
2024-01-09,1305.15,2024-01-10,1305.15
2024-01-07,3122.63,2024-01-08,3122.63
2024-01-04,357.22,2024-01-05,357.22
2024-01-01,1421.06,2024-01-02,1421.06
